19,,,ESC. BÁS. Nº 3658 VALLE HERMOSO,3658,MINGA GUAZÚ,KM. 20 ACARAY,RURAL, -,2B,310,E.I Y E.E.B,DIRECCIÓN,1,,"NECESITA REPARACIÓN DE VENTANAS, REJAS E ILUMINACIÓN Y LA UBICACIÓN DE CIELORRASOS",ALTO PARANA,10
139,7540,17992,ESC. BÁS. N° 3725 SAN JOSÉ,3725,AREGUÁ,SAN JOSE OBRERO,URBANA,--------------------------,R3,650,"1°,2°,3° CICLO E.B.B.",CORREDORES,-,-,"DETERIORO DE REBOQUE, PINTURA, PISOS",CENTRAL,11
70,511092,3880,"ESC. BÁS. Nº 3.759 ""CRISTO REY""",3759,YHÚ ,SIDEPAR 4ª L.,RURAL,_,R10,80,E.B.B.,AULAS,3,_,TERMINACIÓN PROYECTO ALA,CAAGUAZU,5
30,7524,17987,ESC. BÁS. N° 3884 HÉROES DEL CHACO ,3884,AREGUÁ,VALLE PUCU,URBANA,--------------------------,R3,26,INICIAL,AULAS,,1,NO CUENTA CON ESPACIO ADECUADO PARA DICHO NIVEL,CENTRAL,11
26,_,11697,"ESC. BÁS. N° 4000 ""14 DE MAYO""",4000,SANTA ROSA DEL AGUARAY,14 DE MAYO,RURAL,KARAPA'I,4,714,E.E.B.,"AULAS, DIRECCIÓN, SALA DE PROFESORES, BIBLIOTECA,LABORATORIO",6,_,"REPARACIÓN DE AULAS Y CONSTRUCCIÓN NUEVA PARA SALA DE PROFESORES, BIBLIOTECA Y LABORATORIO.",SAN PEDRO,2
51,,, Nº 4007 SAGRADO CORAZÓN DE JESÚS,4007,CAMBYRETÁ,JARDIN DEL SUR - SAN MIGUEL,RURAL,,R4 Z1,200,E.B.B.,AULAS,4,,REPARACIÓN DE TECHO POR FILTRARSE AGUA DE LLUVIA ,ITAPUA,7
49,502116,"3,398","ESC. BÁS. Nº 4012 ""IVAN BENJAMÍN A. AGUILAR""",4012,CAAGUAZÚ,Bº EMPALADO MI,RURAL,_,4,110,N.I. Y E.B.B.,AULAS,6,_,REPARACIÓN,CAAGUAZU,5
31,511078,3866,"ESC. BÁS. Nº 4.122 ""ESPIRITU SANTO""",4122,YHÚ ,CAMBILO CUE ,RURAL,_,R10,190,E.B.B.,AULAS,2,_,TERMINACIÓN EN GENERAL,CAAGUAZU,5
115,507054,3677,"ESC. BÁS. Nº 4163 ""RAZA GUARANI""",4163,REPATRIACIÓN,CAÑADA,RURAL,_,2ZB,28,E.B.B. 1º CICLO,AULAS,1,_,LAS PAREDES PRESENTAN GRANDES FISURAS,CAAGUAZU,5
106,502101,3383,"ESC. BÁS. Nº 4361 ""SAN ISIDRO LABRADOR""",4361,CAAGUAZÚ,Bº SAN ISIDRO - TORO BLANCO,RURAL,_,4,36,N.I. Y E.B.B.,AULAS,1,1,REPARACIÓN Y ADECUACIÓN,CAAGUAZU,5
13,502029,3311,"ESCUELA BÁSICA Nº 4366 ""MUNICIPAL""",4366,CAAGUAZÚ,Bº BERNARDINO CABALLERO,RURAL,_,4,300, E.B.B.,AULAS,9,1,REPARACIÓN TOTAL,CAAGUAZU,5
1,502033,3315,"ESC. BÁS. Nº 4368 ""DIEGO FABIÁN""",4368,CAAGUAZÚ,CONAVI - CÑÍA. W. INSFRÁN,RURAL,_,4,680,N.I. Y E.B.B.,AULAS,9,_,REPARACIÓN,CAAGUAZU,5
207,0,8202,ESC. BÁS. N° 4562  ESPERANZA,4562,LUQUE,AVDA. SAN LUIS Y SANTA LUISA,RURAL,--------------------------,R2,90,E.B.B.-EP,AULAS,5,,"DETERIORO DE L TECHO, PISO Y PINTURA.",CENTRAL,11
281,0,8202,ESC. BÁS. N° 4562  ESPERANZA,4562,LUQUE,AVDA. SAN LUIS Y SANTA LUISA,RURAL,--------------------------,R2,90,E.B.B.-EP,AULAS,5,,"DETERIORO DE L TECHO, PISO Y PINTURA.",CENTRAL,11
39,,,"ESC. BÁS. Nº 4570 ""STA. TERESA"" ",4570,CAPITÁN BADO,—,RURAL,CNIA. MCAL. LÓPEZ 1ª SECCIÓN,3,160,1º Y 2º CICLOS E.B.B.,AULAS,3,  -,"DETERIORO DEL PISO, EL TECHO Y LA PINTURA",AMAMBAY,13
65,520026,3914,"ESC. BÁS. Nº 4.618 ""SAGRADA FAMILIA""",4618,VAQUERÍA ,8 DE DICIEMBRE,RURAL,_,R10,90,E.B.B.,AULAS,4,_,POR DETERIORO,CAAGUAZU,5
62,,,ESC. BÁS. Nº 4705 LA ESPERANZA,4705,YAGUARÓN,CONAVI 2 MBARITU,RURAL,,1,126,INICIAL Y E.B.B.,"AULAS,DIRECCIÓN",5,5,PARA MEJORAR EL ASPECTO ESTÉTICO(DETERIORO DE LA PINTURA,PARAGUARI,9
22,502154,3473,"ESC. BÁS. Nº 4739 ""DON FEDERICO LLAMOSAS B.""",4739,CAAGUAZÚ,Bº SAN RAFAEL,RURAL,_,4,225,E.B.B.,AULAS,4,_,"PÉSIMOS ESTADOS DE LAS AULAS DE MADERA, NECESITA REPARACIÓN",CAAGUAZU,5
18,_,11638,"ESC. BÁS. N° 4995 ""STO. DOMINGO DE GUZMÁN""",4995,SANTA ROSA DEL AGUARAY,STO. DOMINGO,RURAL,,4,350,E.E.B.,AULAS,5,_,"SON DE MADERAS, EN PÉSIMAS CONDICIONES.",SAN PEDRO,2
25,_,11707,"ESC. BÁS. N° 5006 ""SAN ISIDRO""",5006,SANTA ROSA DEL AGUARAY,ASENT. KARAPA'I CALLE TACUATÍ,RURAL,KARAPA'I,4,86,E.E.B.,AULAS,3,_,MAL ESTADO DE LA ESTRUCTURA CAUSADO POR TEMPORAL.,SAN PEDRO,2
73,,,ESC. BÁS. Nº 5048 SANTA CLARA,5048,"SAN JOSÉ DE LOS
 ARROYOS",POTRERO OCULTO,RURAL, -,3,12," 2º CICLO
E.B.B.",AULAS,1, -,DESTRIDO POR FENÓMENO ADMÓSFERICO,CAAGUAZU,5
68,,,ESC. BÁS. Nº 5049 INSP. GRAL EUGENIO CANTERO,5049,"SAN JOSÉ DE LOS
 ARROYOS",PTE FRANCO,RURAL, -,3,26,"1º Y 2º CICLO
E.B.B.",AULAS,3, -,DETERIORO DE TECHO,CAAGUAZU,5
69,,,ESC. BAS N° 5058 NUESTRA SRA VIRGEN DE FATIMA,5058,NUEVA LONDRES,CARACHI,RURAL, -,3,67,"1º Y 2º CICLO
E.B.B.",AULAS,1, -,DETERIORO TECHO. POR ATENTAR CONTRA LA VIDA DE LOS ALUMNOS,CAAGUAZU,5
78,,,ESC. BAS N° 5058 NUESTRA SRA VIRGEN DE FATIMA,5058,NUEVA LONDRES,CARACHI,RURAL, -,3,10,INICIAL,AULAS,1, -, ADECUACIÓN -BAÑO INCORPORADO AL AULA,CAAGUAZU,5
32,208210,11266,ESC. BÁS. Nº5950 3 DE AGOSTO,5104,SAN ESTANISLAO,ASENTAMIENTO JULIAN PORTILLO,RURAL,,4,120,E.I. Y E.E.B.,AULAS,4,,DÉFICIT,SAN PEDRO,2
56,,, Nº 5198,5198,LA PAZ,ITAPESYI,RURAL,",,,",R4 Z1,.,E.E.B  P.E.,PISO,",,,",",,,,",SE NECESITA PISO PARA LA FORMACIÓN DE LA FILA POR QUE EN EPOCAS DE LLUVIA  HAY BARRO Y SECO MUCHO POLVO,ITAPUA,7
